Best solution in generation 509 is:  f(x) = 33.0
Best solution in generation 510 is:  f(x) = 33.0
Best solution in generation 511 is:  f(x) = 33.0
Best solution in generation 512 is:  f(x) = 33.0
Best solution in generation 513 is:  f(x) = 33.0
Best solution in generation 514 is:  f(x) = 33.0
Best solution in generation 515 is:  f(x) = 33.0
Best solution in generation 516 is:  f(x) = 33.0
Best solution in generation 517 is:  f(x) = 33.0
Best solution in generation 518 is:  f(x) = 33.0
Best solution in generation 519 is:  f(x) = 33.0
Best solution in generation 520 is:  f(x) = 33.0
Best solution in generation 521 is:  f(x) = 33.0
Best solution in generation 522 is:  f(x) = 33.0
Best solution in generation 523 is:  f(x) = 33.0
Best solution in generation 524 is:  f(x) = 33.0
Best solution in generation 525 is:  f(x) = 33.0
Best solution in generation 526 is:  f(x) = 33.0
Best solution in generation 527 is:  f(x) = 33.0
Best solution in generation 528 is:  f(x) = 33.0
Best solution in generation 529 is:  f(x) = 33.0
Best solution in generation 530 is:  f(x) = 33.0
Best solution in generation 531 is:  f(x) = 33.0
Best solution in generation 532 is:  f(x) = 33.0
Best solution in generation 533 is:  f(x) = 33.0
Best solution in generation 534 is:  f(x) = 33.0
Best solution in generation 535 is:  f(x) = 33.0
Best solution in generation 536 is:  f(x) = 33.0
Best solution in generation 537 is:  f(x) = 33.0
Best solution in generation 538 is:  f(x) = 33.0
Best solution in generation 539 is:  f(x) = 33.0
Best solution in generation 540 is:  f(x) = 33.0
Best solution in generation 541 is:  f(x) = 33.0
Best solution in generation 542 is:  f(x) = 33.0
Best solution in generation 543 is:  f(x) = 33.0
Best solution in generation 544 is:  f(x) = 33.0
Best solution in generation 545 is:  f(x) = 33.0
Best solution in generation 546 is:  f(x) = 33.0
Best solution in generation 547 is:  f(x) = 33.0
Best solution in generation 548 is:  f(x) = 33.0
Best solution in generation 549 is:  f(x) = 33.0
Best solution in generation 550 is:  f(x) = 33.0
Best solution in generation 551 is:  f(x) = 33.0
Best solution in generation 552 is:  f(x) = 33.0
Best solution in generation 553 is:  f(x) = 33.0
Best solution in generation 554 is:  f(x) = 33.0
Best solution in generation 555 is:  f(x) = 33.0
Best solution in generation 556 is:  f(x) = 33.0
Best solution in generation 557 is:  f(x) = 33.0
Best solution in generation 558 is:  f(x) = 33.0
Best solution in generation 559 is:  f(x) = 33.0
Best solution in generation 560 is:  f(x) = 33.0
Best solution in generation 561 is:  f(x) = 33.0
Best solution in generation 562 is:  f(x) = 33.0
Best solution in generation 563 is:  f(x) = 33.0
Best solution in generation 564 is:  f(x) = 33.0
Best solution in generation 565 is:  f(x) = 33.0
Best solution in generation 566 is:  f(x) = 33.0
Best solution in generation 567 is:  f(x) = 33.0
Best solution in generation 568 is:  f(x) = 33.0
Best solution in generation 569 is:  f(x) = 33.0
Best solution in generation 570 is:  f(x) = 33.0
Best solution in generation 571 is:  f(x) = 33.0
Best solution in generation 572 is:  f(x) = 33.0
Best solution in generation 573 is:  f(x) = 33.0
Best solution in generation 574 is:  f(x) = 33.0
Best solution in generation 575 is:  f(x) = 33.0
Best solution in generation 576 is:  f(x) = 33.0
Best solution in generation 577 is:  f(x) = 33.0
Best solution in generation 578 is:  f(x) = 33.0
Best solution in generation 579 is:  f(x) = 33.0
Best solution in generation 580 is:  f(x) = 33.0
Best solution in generation 581 is:  f(x) = 33.0
Best solution in generation 582 is:  f(x) = 33.0
Best solution in generation 583 is:  f(x) = 33.0
Best solution in generation 584 is:  f(x) = 33.0
Best solution in generation 585 is:  f(x) = 33.0
Best solution in generation 586 is:  f(x) = 33.0
Best solution in generation 587 is:  f(x) = 33.0
Best solution in generation 588 is:  f(x) = 33.0
Best solution in generation 589 is:  f(x) = 33.0
Best solution in generation 590 is:  f(x) = 33.0
Best solution in generation 591 is:  f(x) = 33.0
Best solution in generation 592 is:  f(x) = 33.0
Best solution in generation 593 is:  f(x) = 33.0
Best solution in generation 594 is:  f(x) = 33.0
Best solution in generation 595 is:  f(x) = 33.0
Best solution in generation 596 is:  f(x) = 33.0
Best solution in generation 597 is:  f(x) = 33.0
Best solution in generation 598 is:  f(x) = 33.0
Best solution in generation 599 is:  f(x) = 33.0
Best solution in generation 600 is:  f(x) = 33.0
Best solution in generation 601 is:  f(x) = 33.0
Best solution in generation 602 is:  f(x) = 33.0
Best solution in generation 603 is:  f(x) = 33.0
Best solution in generation 604 is:  f(x) = 33.0
Best solution in generation 605 is:  f(x) = 33.0
Best solution in generation 606 is:  f(x) = 33.0
Best solution in generation 607 is:  f(x) = 33.0
